date,destination_region,oil_eur_per_day,gas_eur_per_day,coal_eur_per_day,total_eur_per_day
2023-08-01,EU,29576067.414575472,38193853.78499848,0.0,67769921.19957395
2023-08-01,India,99757826.87219742,0.0,6466693.818419355,106224520.69061677
2023-08-01,Others,113452586.41698731,10433284.063615132,8956683.727,132842554.20760244
2023-08-01,South Korea,1406030.1777365485,0.0,6779195.35832258,8185225.536059129
2023-08-01,Total,485342072.71697915,105078064.85830879,53484675.6672258,643904813.2425138
2023-08-01,Türkiye,56753958.52432946,25645792.873989105,7503960.7107741935,89903712.10909276
2023-08-01,United Kingdom,0.0,0.0,0.0,0.0
2023-08-01,United States,463530.4209394839,0.0,0.0,463530.4209394839
2023-09-01,China,177062764.84889233,30017169.16344124,22867733.074633323,229947667.0869669
2023-09-01,EU,36554577.56892468,42140661.40346992,0.0,78695238.9723946
2023-09-01,India,121303237.00034243,1192223.88824,7948652.125966667,130444113.01454909
2023-09-01,Others,125618426.80163719,13146714.400085522,11015187.2763,149780328.4780227
2023-09-01,South Korea,3098104.2195858,2046284.9932794666,5476867.603033334,10621256.815898601
2023-09-01,Total,528411203.4506205,112540534.66695094,54663057.62163332,695614795.7392048
2023-09-01,Türkiye,64774093.01123808,23997480.818434794,7354617.5417,96126191.37137288
2023-09-01,United Kingdom,0.0,0.0,0.0,0.0
2023-09-01,United States,0.0,0.0,0.0,0.0
2023-10-01,China,175135942.2162529,23771385.49948527,20484311.086290322,219391638.80202848
2023-10-01,EU,21354766.926322777,47136106.728387356,0.0,68490873.65471013
2023-10-01,India,122299564.9689607,1212364.280103226,6268503.766838709,129780433.01590264
2023-10-01,Others,106131638.07534046,16129675.566268038,10700630.456129035,132961944.09773754
2023-10-01,South Korea,3974053.0608652253,2128451.126017258,7275304.198258065,13377808.385140548
2023-10-01,Total,485434984.810463,116083155.82480308,51889609.180709675,653407749.8159758
2023-10-01,Türkiye,56539019.56272096,25705172.624541942,7160859.673193547,89405051.86045645
2023-10-01,United Kingdom,0.0,0.0,0.0,0.0
2023-10-01,United States,0.0,0.0,0.0,0.0
2023-11-01,China,186408623.02935085,28135049.526444457,18550804.40136667,233094476.95716196
2023-11-01,EU,25434186.067290995,60114682.32861053,0.0,85548868.39590153
